Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2023-05-03 17:00:00+00:00,11819,6514,4415,515,2682,890,0,0.0,476.44,2,5,17
2023-05-03 18:00:00+00:00,12904,8849,3792,398,1259,262,0,0.0,555.94,2,5,18
2023-05-03 19:00:00+00:00,14135,11425,3301,333,223,-592,0,0.0,590.0,2,5,19
2023-05-03 20:00:00+00:00,14972,12216,3205,336,0,-450,0,0.0,620.0,2,5,20
2023-05-03 21:00:00+00:00,14714,10993,3285,486,0,436,0,0.0,595.0,2,5,21
2023-05-03 22:00:00+00:00,13890,9622,3279,519,0,990,0,0.0,568.0,2,5,22
2023-05-03 23:00:00+00:00,12883,8452,3224,462,0,1207,0,0.0,545.33,2,5,23
2023-05-04 00:00:00+00:00,11870,8424,3146,445,0,300,0,0.0,540.0,3,5,0
2023-05-04 01:00:00+00:00,11349,7985,3064,363,0,300,0,0.0,530.0,3,5,1
2023-05-04 02:00:00+00:00,11360,8016,3043,330,0,301,0,0.0,530.0,3,5,2
2023-05-04 03:00:00+00:00,11353,8030,3023,302,0,300,0,0.0,530.0,3,5,3
2023-05-04 04:00:00+00:00,11722,8412,3010,283,0,300,0,0.0,545.0,3,5,4
2023-05-04 05:00:00+00:00,12384,8729,3054,277,50,601,0,0.0,550.0,3,5,5
2023-05-04 06:00:00+00:00,14557,9863,3330,275,619,1364,0,0.0,589.45,3,5,6
2023-05-04 07:00:00+00:00,15578,10254,4045,201,2386,1279,0,0.0,591.4,3,5,7
